Time,ID,Category,Group,Event,Msg. Type,Priority,Ether Type,Src. MAC,Src. Int.,Src. Zone,Dst. MAC,Dst. Int.,Dst. Zone,Src. IP,Src. Port,Src. Name,Src.NAT IP,Src.NAT Port,In SPI,Dst. IP,Dst. Port,Dst. Name,Dst.NAT IP,Dst.NAT Port,Out SPI,IP Protocol,ICMP Type,ICMP Code,RX Bytes,TX Bytes,Access Rule,NAT Policy,User Name,Session Time,Session Type,IDP Rule,IDP Priority,HTTP OP,URL,VPN Policy,HTTP Result,Block Cat,Application,FW Action,Notes,Message
5/10/2017 7:23,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:25,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:26,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:27,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:28,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:29,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:30,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:32,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:33,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:35,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:36,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:37,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
5/10/2017 7:38,45,Network,ARP,ARP Failure,Standard,Debug,,18:B1:69:1A:2F:B0,,,,X0,,192.168.0.1,,,,,,192.168.0.28,,,,,,,,,,,,,,,,,,,,,,,,NA,,ARP Timeout
